Zählstellennummer;Zählart;Datum;Knotenarmnummer;;;;;
14103;;2023-11-14;1;;;;;
Intervallnummer;nach;Pkw;Lkw;Lz;Bus;Krad;Rad;Fuss
1;3;19;0;0;1;0;0;
2;3;15;0;0;0;1;0;
3;3;20;0;0;0;0;0;
4;3;14;0;0;0;0;0;
5;3;8;0;0;0;0;0;
6;3;13;0;0;0;0;0;
7;3;16;0;0;0;0;0;
8;3;10;0;0;0;0;0;
9;3;11;0;0;0;0;0;
10;3;6;0;0;0;0;0;
11;3;6;0;0;0;0;0;
12;3;10;0;0;0;0;0;
13;3;8;0;0;0;0;0;
14;3;8;0;0;0;0;0;
15;3;7;0;1;0;0;0;
16;3;7;0;0;0;0;0;
17;3;9;0;0;0;0;0;
18;3;5;1;0;0;0;0;
19;3;12;1;0;0;0;0;
20;3;17;1;0;1;0;0;
21;3;22;0;1;0;0;0;
22;3;22;2;0;0;0;0;
23;3;54;5;0;0;0;0;
24;3;69;1;2;0;0;1;
25;3;79;3;2;0;0;0;
26;3;91;5;1;0;1;0;
27;3;120;4;0;1;0;0;
28;3;114;3;1;0;0;0;
29;3;123;4;1;1;0;0;
30;3;128;3;0;0;2;0;
31;3;117;3;0;1;2;0;
32;3;123;3;1;2;1;0;
33;3;134;6;1;0;2;0;
34;3;121;3;2;0;4;0;
35;3;121;3;1;2;1;0;
36;3;116;2;1;0;1;1;
37;3;122;5;1;0;1;1;
38;3;122;5;0;1;0;1;
39;3;122;2;0;0;1;1;
40;3;135;3;0;0;0;0;
41;3;116;4;0;1;0;0;
42;3;139;3;0;0;2;0;
43;3;133;3;1;0;0;0;
44;3;121;10;1;1;0;0;
45;3;128;9;1;0;0;0;
46;3;120;4;1;0;1;1;
47;3;128;6;1;1;0;0;
48;3;127;4;2;1;0;0;
49;3;108;6;0;0;2;1;
50;3;122;3;0;0;0;0;
51;3;128;2;0;1;1;1;
52;3;111;2;0;1;0;1;
53;3;116;6;0;0;0;0;
54;3;99;5;1;0;1;0;
55;3;117;3;0;1;0;0;
56;3;121;5;0;1;0;1;
57;3;110;4;1;0;2;0;
58;3;126;5;0;0;0;0;
59;3;117;1;2;0;1;1;
60;3;100;4;1;0;0;0;
61;3;112;4;0;1;1;0;
62;3;111;3;0;0;1;0;
63;3;99;5;0;0;0;1;
64;3;111;4;0;0;0;0;
65;3;131;3;0;1;1;1;
66;3;120;2;0;0;3;0;
