Zählstellennummer;Zählart;Datum;Knotenarmnummer;;;;;;;
111310;QJS;2026-03-16;2;;;;;;;
Intervallnummer;nach;Strassenseite;Richtung;Pkw;Lkw;Lz;Bus;Krad;Rad;Fuss
25;4;N;;;;;;;25;25
26;4;N;;;;;;;26;26
27;4;N;;;;;;;27;27
28;4;N;;;;;;;28;28
29;4;N;;;;;;;29;29
30;4;N;;;;;;;30;30
31;4;N;;;;;;;31;31
32;4;N;;;;;;;32;32
33;4;N;;;;;;;33;33
34;4;N;;;;;;;34;34
35;4;N;;;;;;;35;35
36;4;N;;;;;;;36;36
37;4;N;;;;;;;37;37
38;4;N;;;;;;;38;38
39;4;N;;;;;;;39;39
40;4;N;;;;;;;40;40
41;4;N;;;;;;;41;41
42;4;N;;;;;;;42;42
43;4;N;;;;;;;43;43
44;4;N;;;;;;;44;44
45;4;N;;;;;;;45;45
46;4;N;;;;;;;46;46
47;4;N;;;;;;;47;47
48;4;N;;;;;;;48;48
49;4;N;;;;;;;49;49
50;4;N;;;;;;;50;50
51;4;N;;;;;;;51;51
52;4;N;;;;;;;52;52
53;4;N;;;;;;;53;53
54;4;N;;;;;;;54;54
55;4;N;;;;;;;55;55
56;4;N;;;;;;;56;56
57;4;N;;;;;;;57;57
58;4;N;;;;;;;58;58
59;4;N;;;;;;;59;59
60;4;N;;;;;;;60;60
61;4;N;;;;;;;61;61
62;4;N;;;;;;;62;62
63;4;N;;;;;;;63;63
64;4;N;;;;;;;64;64
65;4;N;;;;;;;65;65
66;4;N;;;;;;;66;66
67;4;N;;;;;;;67;67
68;4;N;;;;;;;68;68
69;4;N;;;;;;;69;69
70;4;N;;;;;;;70;70
71;4;N;;;;;;;71;71
72;4;N;;;;;;;72;72
73;4;N;;;;;;;73;73
74;4;N;;;;;;;74;74
75;4;N;;;;;;;75;75
76;4;N;;;;;;;76;76
25;4;S;;;;;;;25;25
26;4;S;;;;;;;26;26
27;4;S;;;;;;;27;27
28;4;S;;;;;;;28;28
29;4;S;;;;;;;29;29
30;4;S;;;;;;;30;30
31;4;S;;;;;;;31;31
32;4;S;;;;;;;32;32
33;4;S;;;;;;;33;33
34;4;S;;;;;;;34;34
35;4;S;;;;;;;35;35
36;4;S;;;;;;;36;36
37;4;S;;;;;;;37;37
38;4;S;;;;;;;38;38
39;4;S;;;;;;;39;39
40;4;S;;;;;;;40;40
41;4;S;;;;;;;41;41
42;4;S;;;;;;;42;42
43;4;S;;;;;;;43;43
44;4;S;;;;;;;44;44
45;4;S;;;;;;;45;45
46;4;S;;;;;;;46;46
47;4;S;;;;;;;47;47
48;4;S;;;;;;;48;48
49;4;S;;;;;;;49;49
50;4;S;;;;;;;50;50
51;4;S;;;;;;;51;51
52;4;S;;;;;;;52;52
53;4;S;;;;;;;53;53
54;4;S;;;;;;;54;54
55;4;S;;;;;;;55;55
56;4;S;;;;;;;56;56
57;4;S;;;;;;;57;57
58;4;S;;;;;;;58;58
59;4;S;;;;;;;59;59
60;4;S;;;;;;;60;60
61;4;S;;;;;;;61;61
62;4;S;;;;;;;62;62
63;4;S;;;;;;;63;63
64;4;S;;;;;;;64;64
65;4;S;;;;;;;65;65
66;4;S;;;;;;;66;66
67;4;S;;;;;;;67;67
68;4;S;;;;;;;68;68
69;4;S;;;;;;;69;69
70;4;S;;;;;;;70;70
71;4;S;;;;;;;71;71
72;4;S;;;;;;;72;72
73;4;S;;;;;;;73;73
74;4;S;;;;;;;74;74
75;4;S;;;;;;;75;75
76;4;S;;;;;;;76;76
