Zählstellennummer;Zählart;Datum;Knotenarmnummer;;;;;;;
39001;FJS;2026-06-08;4;;;;;;;
Intervallnummer;nach;Strassenseite;Richtung;Pkw;Lkw;Lz;Bus;Krad;Rad;Fuss
1;;N;EIN;;;;;;1;1
2;;N;EIN;;;;;;2;2
3;;N;EIN;;;;;;3;3
4;;N;EIN;;;;;;4;4
5;;N;EIN;;;;;;5;5
6;;N;EIN;;;;;;6;6
7;;N;EIN;;;;;;7;7
8;;N;EIN;;;;;;8;8
9;;N;EIN;;;;;;9;9
10;;N;EIN;;;;;;10;10
11;;N;EIN;;;;;;11;11
12;;N;EIN;;;;;;12;12
13;;N;EIN;;;;;;13;13
14;;N;EIN;;;;;;14;14
15;;N;EIN;;;;;;15;15
16;;N;EIN;;;;;;16;16
17;;N;EIN;;;;;;17;17
18;;N;EIN;;;;;;18;18
19;;N;EIN;;;;;;19;19
20;;N;EIN;;;;;;20;20
21;;N;EIN;;;;;;21;21
22;;N;EIN;;;;;;22;22
23;;N;EIN;;;;;;23;23
24;;N;EIN;;;;;;24;24
25;;N;EIN;;;;;;25;25
26;;N;EIN;;;;;;26;26
27;;N;EIN;;;;;;27;27
28;;N;EIN;;;;;;28;28
29;;N;EIN;;;;;;29;29
30;;N;EIN;;;;;;30;30
31;;N;EIN;;;;;;31;31
32;;N;EIN;;;;;;32;32
33;;N;EIN;;;;;;33;33
34;;N;EIN;;;;;;34;34
35;;N;EIN;;;;;;35;35
36;;N;EIN;;;;;;36;36
37;;N;EIN;;;;;;37;37
38;;N;EIN;;;;;;38;38
39;;N;EIN;;;;;;39;39
40;;N;EIN;;;;;;40;40
41;;N;EIN;;;;;;41;41
42;;N;EIN;;;;;;42;42
43;;N;EIN;;;;;;43;43
44;;N;EIN;;;;;;44;44
45;;N;EIN;;;;;;45;45
46;;N;EIN;;;;;;46;46
47;;N;EIN;;;;;;47;47
48;;N;EIN;;;;;;48;48
49;;N;EIN;;;;;;49;49
50;;N;EIN;;;;;;50;50
51;;N;EIN;;;;;;51;51
52;;N;EIN;;;;;;52;52
53;;N;EIN;;;;;;53;53
54;;N;EIN;;;;;;54;54
55;;N;EIN;;;;;;55;55
56;;N;EIN;;;;;;56;56
57;;N;EIN;;;;;;57;57
58;;N;EIN;;;;;;58;58
59;;N;EIN;;;;;;59;59
60;;N;EIN;;;;;;60;60
61;;N;EIN;;;;;;61;61
62;;N;EIN;;;;;;62;62
63;;N;EIN;;;;;;63;63
64;;N;EIN;;;;;;64;64
65;;N;EIN;;;;;;65;65
66;;N;EIN;;;;;;66;66
67;;N;EIN;;;;;;67;67
68;;N;EIN;;;;;;68;68
69;;N;EIN;;;;;;69;69
70;;N;EIN;;;;;;70;70
71;;N;EIN;;;;;;71;71
72;;N;EIN;;;;;;72;72
73;;N;EIN;;;;;;73;73
74;;N;EIN;;;;;;74;74
75;;N;EIN;;;;;;75;75
76;;N;EIN;;;;;;76;76
77;;N;EIN;;;;;;77;77
78;;N;EIN;;;;;;78;78
79;;N;EIN;;;;;;79;79
80;;N;EIN;;;;;;80;80
81;;N;EIN;;;;;;81;81
82;;N;EIN;;;;;;82;82
83;;N;EIN;;;;;;83;83
84;;N;EIN;;;;;;84;84
85;;N;EIN;;;;;;85;85
86;;N;EIN;;;;;;86;86
87;;N;EIN;;;;;;87;87
88;;N;EIN;;;;;;88;88
89;;N;EIN;;;;;;89;89
90;;N;EIN;;;;;;90;90
91;;N;EIN;;;;;;91;91
92;;N;EIN;;;;;;92;92
93;;N;EIN;;;;;;93;93
94;;N;EIN;;;;;;94;94
95;;N;EIN;;;;;;95;95
96;;N;EIN;;;;;;96;96
1;;S;EIN;;;;;;1;1
2;;S;EIN;;;;;;2;2
3;;S;EIN;;;;;;3;3
4;;S;EIN;;;;;;4;4
5;;S;EIN;;;;;;5;5
6;;S;EIN;;;;;;6;6
7;;S;EIN;;;;;;7;7
8;;S;EIN;;;;;;8;8
9;;S;EIN;;;;;;9;9
10;;S;EIN;;;;;;10;10
11;;S;EIN;;;;;;11;11
12;;S;EIN;;;;;;12;12
13;;S;EIN;;;;;;13;13
14;;S;EIN;;;;;;14;14
15;;S;EIN;;;;;;15;15
16;;S;EIN;;;;;;16;16
17;;S;EIN;;;;;;17;17
18;;S;EIN;;;;;;18;18
19;;S;EIN;;;;;;19;19
20;;S;EIN;;;;;;20;20
21;;S;EIN;;;;;;21;21
22;;S;EIN;;;;;;22;22
23;;S;EIN;;;;;;23;23
24;;S;EIN;;;;;;24;24
25;;S;EIN;;;;;;25;25
26;;S;EIN;;;;;;26;26
27;;S;EIN;;;;;;27;27
28;;S;EIN;;;;;;28;28
29;;S;EIN;;;;;;29;29
30;;S;EIN;;;;;;30;30
31;;S;EIN;;;;;;31;31
32;;S;EIN;;;;;;32;32
33;;S;EIN;;;;;;33;33
34;;S;EIN;;;;;;34;34
35;;S;EIN;;;;;;35;35
36;;S;EIN;;;;;;36;36
37;;S;EIN;;;;;;37;37
38;;S;EIN;;;;;;38;38
39;;S;EIN;;;;;;39;39
40;;S;EIN;;;;;;40;40
41;;S;EIN;;;;;;41;41
42;;S;EIN;;;;;;42;42
43;;S;EIN;;;;;;43;43
44;;S;EIN;;;;;;44;44
45;;S;EIN;;;;;;45;45
46;;S;EIN;;;;;;46;46
47;;S;EIN;;;;;;47;47
48;;S;EIN;;;;;;48;48
49;;S;EIN;;;;;;49;49
50;;S;EIN;;;;;;50;50
51;;S;EIN;;;;;;51;51
52;;S;EIN;;;;;;52;52
53;;S;EIN;;;;;;53;53
54;;S;EIN;;;;;;54;54
