Zählstellennummer;Zählart;Datum;Knotenarmnummer;;;;;;;
39001;FJS;2026-06-08;8;;;;;;;
Intervallnummer;nach;Strassenseite;Richtung;Pkw;Lkw;Lz;Bus;Krad;Rad;Fuss
1;;NO;EIN;;;;;;1;1
2;;NO;EIN;;;;;;2;2
3;;NO;EIN;;;;;;3;3
4;;NO;EIN;;;;;;4;4
5;;NO;EIN;;;;;;5;5
6;;NO;EIN;;;;;;6;6
7;;NO;EIN;;;;;;7;7
8;;NO;EIN;;;;;;8;8
9;;NO;EIN;;;;;;9;9
10;;NO;EIN;;;;;;10;10
11;;NO;EIN;;;;;;11;11
12;;NO;EIN;;;;;;12;12
13;;NO;EIN;;;;;;13;13
14;;NO;EIN;;;;;;14;14
15;;NO;EIN;;;;;;15;15
16;;NO;EIN;;;;;;16;16
17;;NO;EIN;;;;;;17;17
18;;NO;EIN;;;;;;18;18
19;;NO;EIN;;;;;;19;19
20;;NO;EIN;;;;;;20;20
21;;NO;EIN;;;;;;21;21
22;;NO;EIN;;;;;;22;22
23;;NO;EIN;;;;;;23;23
24;;NO;EIN;;;;;;24;24
25;;NO;EIN;;;;;;25;25
26;;NO;EIN;;;;;;26;26
27;;NO;EIN;;;;;;27;27
28;;NO;EIN;;;;;;28;28
29;;NO;EIN;;;;;;29;29
30;;NO;EIN;;;;;;30;30
31;;NO;EIN;;;;;;31;31
32;;NO;EIN;;;;;;32;32
33;;NO;EIN;;;;;;33;33
34;;NO;EIN;;;;;;34;34
35;;NO;EIN;;;;;;35;35
36;;NO;EIN;;;;;;36;36
37;;NO;EIN;;;;;;37;37
38;;NO;EIN;;;;;;38;38
39;;NO;EIN;;;;;;39;39
40;;NO;EIN;;;;;;40;40
41;;NO;EIN;;;;;;41;41
42;;NO;EIN;;;;;;42;42
43;;NO;EIN;;;;;;43;43
44;;NO;EIN;;;;;;44;44
45;;NO;EIN;;;;;;45;45
46;;NO;EIN;;;;;;46;46
47;;NO;EIN;;;;;;47;47
48;;NO;EIN;;;;;;48;48
49;;NO;EIN;;;;;;49;49
50;;NO;EIN;;;;;;50;50
51;;NO;EIN;;;;;;51;51
52;;NO;EIN;;;;;;52;52
53;;NO;EIN;;;;;;53;53
54;;NO;EIN;;;;;;54;54
55;;NO;EIN;;;;;;55;55
56;;NO;EIN;;;;;;56;56
57;;NO;EIN;;;;;;57;57
58;;NO;EIN;;;;;;58;58
59;;NO;EIN;;;;;;59;59
60;;NO;EIN;;;;;;60;60
61;;NO;EIN;;;;;;61;61
62;;NO;EIN;;;;;;62;62
63;;NO;EIN;;;;;;63;63
64;;NO;EIN;;;;;;64;64
65;;NO;EIN;;;;;;65;65
66;;NO;EIN;;;;;;66;66
67;;NO;EIN;;;;;;67;67
68;;NO;EIN;;;;;;68;68
69;;NO;EIN;;;;;;69;69
70;;NO;EIN;;;;;;70;70
71;;NO;EIN;;;;;;71;71
